,content,class
0,"1 . 实验室 玻璃器皿 清洗   
 2 . 环境 打扫   
 3 . 主管 交办 事项 
 
 职务 类别 ： 
 清洁工 ／ 资源 回收 人员   工作 待遇 ： 
 月薪   2 万 4 仟元   至   2 万 5 仟元 
 工作 性质 ： 
 全职 
 上班 地点 ： 
 台中市 北区 青岛 一街 33 - 5 号 6 楼   管理 责任 ： 
 不需 负担 管理 责任 
 出差 外派 ： 
 无需 出差 外派 
 上班 时段 ： 
 日班 ， 08 : 30 ~ 17 : 30 
 休假 制度 ： 
 週休 二日 
 可 上班 日 ： 
 不限 
 需求 人数 ： 
 1 至 3   人 接受 身份 ： 
 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 
 工作 经历 ： 
 不拘 
 学历 要求 ： 
 高中 以下 、 高中 、 专科 
 科系 要求 ： 
 不拘 
 语文 条件 ： 
 不拘 
 擅长 工具 ： 
 不拘 
 工作 技能 ： 
 不拘 
 其他 条件 ： 
 未填写",5
1,1 . 招 唿 客人   为 客人 安排 座位 2 . 提供 客人 专业 的 餐饮 介绍 服务 3 . 递送 餐饮 给 客人   并为 客人 提供 完整 的 侍餐 服务 4 . 维护 环境 清洁 安全 5 . 餐饮 专业技能 与 知识 的 自我 提升 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
2,1 . 招 唿 客人   为 客人 安排 座位 2 . 提供 客人 专业 的 餐饮 介绍 服务 3 . 递送 餐饮 给 客人   并为 客人 提供 完整 的 侍餐 服务 4 . 维护 环境 清洁 安全 5 . 餐饮 专业技能 与 知识 的 自我 提升 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
3,1 . 负责 客人 点餐 、 出餐 等 工作 。 2 . 于 客人 用餐 完毕 后 清理 环境 。 3 . 进行 简易 餐饮 之 料理 ， 如 ： 调配 咖啡 、 饮料 等 。 4 . 餐点 外送 。 5 . 负责 结帐 、 收银 之 工作 。 休假 为排 休制 接受 身份 ： 上班族 、 应届 毕业生 、 夜间 就读 中 工作 经历 ： 不拘 学历 要求 ： 高中 以下 、 高中 、 专科 、 大学 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 具备 驾照 ： 轻型机车 其他 条件 ： 未填写,5
4,"1 . 负责 柜 ? 点餐 ,   出餐 . 外送 之 工作 。 2 . 负责 饮料 调制 工作 。 3 . 清理 环境 及 设备 。 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 具备 驾照 ： 普通 重型 机车 其他 条件 ： 未填写",5
5,"需 轮班 ( 二头 班及 一头 班 )   二头 班 10 : 30 - 13 : 30 、 17 : 30 - 22 : 30   一头 班 12 : 00 - 21 : 00 或 14 : 00 - 22 : 30   月 休 八天 遇 国定假日 休 ( 假需 主管 另排 ) 三节 奖金 生日 礼金 目标 达成 奖金   1 . 负责 跑 单 、 摆盘 、 送餐 及 联系 内外 场 之 工作 。   2 . 负责 客人 带位 、 倒水 、 点餐 等 工作 。   3 . 于 客人 用餐 完毕 后 ， 负责 收拾 碗盘 与 清理 环境 。   4 . 进行 简易 餐饮 之 料理 。   5 . 负责 结帐 、 收银 之 工作 。   6 . 吧台 饮品 制作 。 7 . 闲 瑕 时 , 需 负责 餐厅 内外 之 清洁 工作 。 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 英文   - -   听   / 略懂 、 说   / 略懂 、 读   / 略懂 、 写   / 略懂 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写",5
6,"需 轮班 月 休 八天 遇 国定假日 休 ( 假需 主管 另排 ) 三节 奖金 生日 礼金 目标 达成 奖金 协助 主厨 料理 相关 事谊   备料   各式 餐点 制作   对 料理 , 食物 有 高度 的 着迷 及 热情   有 自我 期许 及 主动 追求 料理 及 厨艺 的 增进         我们 的 厨房 团队 :   追求 成为 最佳 义大利 菜 的 料理 团队 。 提供 顾客 最佳 的 用餐 经验 。 提供 最高 水准 及 效率 的 餐点 品质 。 展现 厨艺 上 的 自信 。 重视 团队精神 及 互助合作 。 高度 的 向心力 、 责任感 、 敬业精神 。   * 身为 厨师 , 您 要 不断 的 自我 成长 , 以及 发挥 自己 的 影响力 领导人员 ,   还要 协助 他人 及 团队 成长 . 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写",5
7,"*   厂商 日常 出货 联系   *   零件 物料 出货 跟 催 *   出货 后 销单 作业 *   物料 库存 採购 及 管理   *   多益 550 分 以上 ， 工作 内容 须具 英文 阅读 及 沟通 能力 *   无 经验 可 - - 试用期 2 个 月 ， 薪资 28 , 000 ； 试用期 后 调至 30 , 000 - - ( 上述 薪资 须 扣除 劳健保 与 退休金 提拨 后 ， 才 为 实领 ) 接受 身份 ： 上班族 、 应届 毕业生 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 专科 以上 科系 要求 ： 不拘 语文 条件 ： 英文   - -   听   / 中等 、 说   / 中等 、 读   / 中等 、 写   / 中等 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写",5
8,工作 内容 ： 1 . 营业 前 准备 ， 环境 整理 。 2 . 带位 、 解说 、 点餐 。 3 . 送餐 及 内外 场 联系 。 4 . 用餐 完毕 后 ， 现场 清理 及 环境 复原 。 5 . 简易 餐饮 之 料理 ， 如 ： 调配 饮料 等 。 6 . 负责 结帐 、 收银 之 工作 。 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 具备 驾照 ： 轻型机车 、 普通 重型 机车 、 普通 小型车 其他 条件 ： 1 . 需具 亲和力 。 2 . 对 服务 具有 热诚 。 3 . 学习 企图心 旺盛 。 4 . 对 自我 清洁 要求 高者 。 5 . 二度 就业 亦可 。,5
9,1 . 驾驶 曳 引车 及 大 货车 2 . 主管 交办 事项 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 具备 驾照 ： 职业 大 货车 、 职业 联结 车 其他 条件 ： 需有 道路 危险物品 运送 人员 训练 证明书,5
10,1 . 仓储 管理 并 执行 定期 盘点 作业 。 2 . 供应商 下单 作业 ， 进货 点交 验收 及 入库 作业 3 . 客户 订单 管理 提供 出货 文件 ， 协助 控管 库存 并 处理 进出 货 事宜 。 4 . 定期 提供 业务 销售 状况 报表 及 营运 报表 制作 ， 以供 业务人员 及 主管 参考 。 5 . 协助 业务人员 处理 销售业务 相关 之 公司 内部 行政 作业 。 6 . 负责 工作 环境 整理 ， 维护 办公 环境 整洁 及 确保 进出 货动线 流畅 。 接受 身份 ： 上班族 、 应届 毕业生 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 高中 以上 科系 要求 ： 不拘 语文 条件 ： 台语   - -   略懂 擅长 工具 ： Excel 、 Outlook 、 PowerPoint 、 Word 工作 技能 ： 不拘 具备 驾照 ： 普通 重型 机车 其他 条件 ： 需 熟练 Excel   公式 操作 及 报表 制作 技能,5
11,"1 . 协助 合约 书 订立 , 出厂 证明 ， 送审 资料 整理 。 2 . 协助 出货 排定 3 . 负责 收发 公文 / 信函 资料 处理 及 归档 工作 。   4 . 准备 会议议程 ， 参与 会议 并 撰写 会议记录 。 接受 身份 ： 上班族 、 应届 毕业生 、 夜间 就读 中 、 学生 实习 工作 经历 ： 不拘 学历 要求 ： 专科 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写",5
12,"( 1 ) 负责 原 物料 ,   商品 仓库 管理 ( 2 ) 负责 出货 与 业务 协调 安排 出货 事宜 ( 3 ) 协力 厂商 商品 发包 追踪 ( 需 管理人员 1 名 ) 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 高中 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 需 担任 仓管 实务 1 年 以上",5
13,主要 工作 职掌 ： 1 . 负责 跑 单 、 摆盘 、 送餐 及 联系 内外 场 之 工作 。   2 . 负责 客人 带位 、 倒水 、 点餐 等 工作 。   3 . 于 客人 用餐 时 与 用餐 完毕 后 ， 负责 收拾 碗盘 与 清理 环境 。   4 . 进行 简易 餐饮 之 料理 ， 如 ： 烤 土司 或 调配 饮料 等 。   5 . 负责 结帐 、 收银 之 工作 。   员工福利 ： ? 制度 类 1 . 提供 员工 餐点 （ 吃 饱饱 工作 有 活力 ） 2 . 提供 员工 制服 （ 上班 不用 担心 不 知道 穿 什么 ） 3 . 健全 的 升迁管道 （ 努力 不怕 老板 看不到 ） 4 . 介绍 伙伴 到职 介绍 金 5 . 全勤奖金 （ 计时 正职 都 有 唷 ） 6 . 完整 的 新手村 教学 （ 让 你 上班 不会 心慌 当废 咖 ） ? 保险 类 1 . 劳保 2 . 健保 3.6% 劳退 ? 奖金 制度 1 . 绩效奖金 2 . 竞赛 奖金 ? 娱乐 类 1 .   店内 聚餐 / 庆生会 2 .   春酒 摸彩 / 赠奖 3 .   不定期 旅游 奖励 ? 优惠 类 1 .   员工 店内餐 折扣 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
14,1 .   柜台 收银 服务   2 .   炸鸡 排   3 .   饮料 调制 4 .   店内 的 卫生 整理 及 闭店 前 的 后场 清洁 。 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 有 机车 驾照 者 优先 录取,5
15,无 经验 可 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 正常 上班 8 小时 ， 超过 另计 加班费 。,5
16,1 .   房间 及浴 厕 清洁 与 备品 更换   2 . 整理 床单 、 被套 、 枕套 .... 等 物品   3 . 保持 房间 及 公共 区域 清洁 接受 身份 ： 上班族 、 应届 毕业生 、 二度 就业 工作 经历 ： 不拘 学历 要求 ： 专科 以上 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
17,主要 工作 职掌 ： 1 . 协助 处理 厨务 工作 2 . 协助 准备 食材 3 . 掌握 出餐 品质   4 . 维护 厨房 整洁 及 打烊 整理 5 . 协助 开发 菜色   ? 制度 类 1 . 提供 员工 餐点 （ 吃 饱饱 工作 有 活力 ） 2 . 提供 员工 制服 （ 上班 不用 担心 不 知道 穿 什么 ） 3 . 健全 的 升迁管道 （ 努力 不怕 老板 看不到 ） 4 . 介绍 伙伴 到职 介绍 金 5 . 全勤奖金 （ 计时 正职 都 有 唷 ） 6 . 完整 的 新手村 教学 （ 让 你 上班 不会 心慌 当废 咖 ） ? 保险 类 1 . 劳保 2 . 健保 3.6% 劳退 ? 奖金 制度 1 . 绩效奖金 2 . 竞赛 奖金 ? 娱乐 类 1 .   店内 聚餐 / 庆生会 2 .   春酒 摸彩 / 赠奖 3 .   不定期 旅游 奖励 ? 优惠 类 1 .   员工 店内餐 折扣 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
18,主要 工作 职掌 ： 1 . 进行 饮料 调制 2 . 负责 料理 花式 拼盘 简易 餐点 或 轻食   3 . 负责 清洗 吧台 设备 以及 周遭 工作 环境   4 . 负责 洗 、 剥 、 削 、 切 各种 食材 ， 前置 工作   5 . 负责 菜餚 摆盘 或 调整 份量 之 工作   6 . 定期 盘点 剩下 的 饮料 与 食材   ? 制度 类 1 . 提供 员工 餐点 （ 吃 饱饱 工作 有 活力 ） 2 . 提供 员工 制服 （ 上班 不用 担心 不 知道 穿 什么 ） 3 . 健全 的 升迁管道 （ 努力 不怕 老板 看不到 ） 4 . 介绍 伙伴 到职 介绍 金 5 . 全勤奖金 （ 计时 正职 都 有 唷 ） 6 . 完整 的 新手村 教学 （ 让 你 上班 不会 心慌 当废 咖 ） ? 保险 类 1 . 劳保 2 . 健保 3.6% 劳退 ? 奖金 制度 1 . 绩效奖金 2 . 竞赛 奖金 ? 娱乐 类 1 .   店内 聚餐 / 庆生会 2 .   春酒 摸彩 / 赠奖 3 .   不定期 旅游 奖励 ? 优惠 类 1 .   员工 店内餐 折扣 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
19,主要 工作 职掌 ： 1 .   依据 餐单 准备 相关 的 食材     2 .   将 食材 清洗 并 做 简单 的 处理 备用     3 .   根据 顾客 的 点单 进行 煎煮 料理     4 .   清理 以及 保养 设备     5 .   闭店 后 整洁   员工福利 ： ? 制度 类 1 . 提供 员工 餐点 （ 吃 饱饱 工作 有 活力 ） 2 . 提供 员工 制服 （ 上班 不用 担心 不 知道 穿 什么 ） 3 . 健全 的 升迁管道 （ 努力 不怕 老板 看不到 ） 4 . 介绍 伙伴 到职 介绍 金 5 . 全勤奖金 （ 计时 正职 都 有 唷 ） 6 . 完整 的 新手村 教学 （ 让 你 上班 不会 心慌 当废 咖 ） ? 保险 类 1 . 劳保 2 . 健保 3.6% 劳退 ? 奖金 制度 1 . 绩效奖金 2 . 竞赛 奖金 ? 娱乐 类 1 .   店内 聚餐 / 庆生会 2 .   春酒 摸彩 / 赠奖 3 .   不定期 旅游 奖励 ? 优惠 类 1 .   员工 店内餐 折扣 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
20,主要 工作 职掌 ： 1 . 负责 跑 单 、 摆盘 、 送餐 及 联系 内外 场 之 工作 。   2 . 负责 客人 带位 、 倒水 、 点餐 等 工作 。   3 . 于 客人 用餐 时 与 用餐 完毕 后 ， 负责 收拾 碗盘 与 清理 环境 。   4 . 负责 结帐 、 收银 之 工作 。 5 . 打烊 店内 整洁     员工福利 ： ? 制度 类 1 . 提供 员工 餐点 （ 吃 饱饱 工作 有 活力 ） 2 . 提供 员工 制服 （ 上班 不用 担心 不 知道 穿 什么 ） 3 . 健全 的 升迁管道 （ 努力 不怕 老板 看不到 ） 4 . 介绍 伙伴 到职 介绍 金 5 . 全勤奖金 （ 计时 正职 都 有 唷 ） 6 . 完整 的 新手村 教学 （ 让 你 上班 不会 心慌 当废 咖 ） ? 保险 类 1 . 劳保 2 . 健保 3.6% 劳退 ? 奖金 制度 1 . 绩效奖金 2 . 竞赛 奖金 ? 娱乐 类 1 .   店内 聚餐 / 庆生会 2 .   春酒 摸彩 / 赠奖 3 .   不定期 旅游 奖励 ? 优惠 类 1 .   员工 店内餐 折扣 接受 身份 ： 上班族 、 应届 毕业生 、 原住民 【 相关 法令 】 工作 经历 ： 不拘 学历 要求 ： 不拘 科系 要求 ： 不拘 语文 条件 ： 不拘 擅长 工具 ： 不拘 工作 技能 ： 不拘 其他 条件 ： 未填写,5
